iter	Passed	Remaining
667	806	400
668	807	399
669	807	397
670	808	396
671	809	395
672	809	393
673	810	392
674	811	390
675	811	389
676	813	388
677	814	386
678	815	385
679	815	383
680	816	382
681	817	380
682	817	379
683	818	378
684	818	376
685	819	375
686	820	373
687	821	372
688	822	371
689	823	369
690	823	368
691	824	366
692	825	365
693	825	364
694	826	362
695	828	361
696	828	360
697	829	359
698	830	357
699	831	356
700	832	354
701	832	353
702	833	352
703	834	350
704	835	349
705	836	348
706	837	346
707	837	345
708	838	344
709	839	342
710	840	341
711	842	340
712	843	339
713	844	338
714	844	336
715	845	335
716	846	334
717	847	332
718	848	331
719	849	330
720	850	329
721	851	327
722	852	326
723	853	325
724	854	324
725	855	322
726	857	321
727	858	320
728	859	319
729	860	318
730	860	316
731	861	315
732	862	314
733	862	312
734	863	311
735	864	310
736	865	308
737	865	307
738	866	306
739	867	304
740	868	303
741	869	302
742	870	301
743	871	299
744	871	298
745	872	297
746	873	295
747	873	294
748	874	293
749	875	291
750	876	290
751	876	289
752	877	287
753	878	286
754	878	285
755	879	283
756	880	282
757	880	281
758	882	280
759	883	278
760	884	277
761	884	276
762	885	275
763	886	273
764	887	272
765	887	271
766	888	269
767	889	268
768	890	267
769	890	266
770	891	264
771	892	263
772	893	262
773	894	261
774	894	259
775	896	258
776	897	257
777	898	256
778	899	255
779	899	253
780	900	252
781	901	251
782	902	250
783	902	248
784	903	247
785	904	246
786	905	244
787	905	243
788	906	242
789	907	241
790	908	239
791	908	238
792	910	237
793	912	236
794	913	235
795	913	234
796	914	232
797	915	231
798	916	230
799	917	229
800	918	228
801	919	226
802	920	225
803	921	224
804	921	223
805	922	222
806	923	220
807	924	219
808	926	218
809	927	217
810	929	216
811	930	215
812	931	214
813	932	212
814	932	211
815	933	210
816	934	209
817	935	208
818	937	207
819	938	206
820	940	205
821	941	203
822	942	202
823	943	201
824	944	200
825	945	199
826	946	197
827	947	196
828	948	195
829	949	194
830	950	193
831	951	192
832	953	191
833	954	190
834	955	188
835	956	187
836	957	186
837	958	185
838	958	184
839	959	182
840	960	181
841	961	180
842	962	179
843	963	178
844	964	176
845	965	175
846	966	174
847	967	173
848	968	172
849	969	171
850	970	169
851	971	168
852	972	167
853	972	166
854	973	165
855	974	163
856	975	162
857	976	161
858	977	160
859	977	159
860	978	158
861	979	156
862	980	155
863	982	154
864	983	153
865	984	152
866	985	151
867	986	150
868	987	148
869	988	147
870	989	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	995	139
877	996	138
878	997	137
879	998	136
880	998	134
881	999	133
882	1000	132
883	1000	131
884	1001	130
885	1002	128
886	1003	127
887	1004	126
888	1005	125
889	1006	124
890	1006	123
891	1011	122
892	1012	121
893	1013	120
894	1014	119
895	1015	117
896	1016	116
897	1017	115
898	1018	114
899	1019	113
900	1019	112
901	1020	110
902	1024	110
903	1025	108
904	1026	107
905	1028	106
906	1029	105
907	1030	104
908	1031	103
909	1032	102
910	1033	100
911	1034	99
912	1035	98
913	1036	97
914	1037	96
915	1039	95
916	1040	94
917	1041	93
918	1042	91
919	1043	90
920	1044	89
921	1045	88
922	1046	87
923	1046	86
924	1047	84
925	1048	83
926	1048	82
927	1049	81
928	1050	80
929	1051	79
930	1052	78
931	1053	76
932	1054	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1057	69
938	1058	68
939	1059	67
940	1060	66
941	1060	65
942	1061	64
943	1062	63
944	1063	61
945	1063	60
946	1064	59
947	1066	58
948	1067	57
949	1068	56
950	1069	55
951	1070	53
952	1071	52
953	1071	51
954	1072	50
955	1073	49
956	1073	48
957	1074	47
958	1074	45
959	1075	44
960	1076	43
961	1076	42
962	1077	41
963	1078	40
964	1078	39
965	1080	38
966	1081	36
967	1082	35
968	1082	34
969	1083	33
970	1084	32
971	1084	31
972	1085	30
973	1086	28
974	1086	27
975	1087	26
976	1088	25
977	1088	24
978	1089	23
979	1090	22
980	1091	21
981	1092	20
982	1094	18
983	1095	17
984	1096	16
985	1097	15
986	1098	14
987	1098	13
988	1099	12
989	1100	11
990	1101	10
991	1101	8
992	1102	7
993	1103	6
994	1103	5
995	1104	4
996	1105	3
997	1105	2
998	1107	1
999	1110	0
